2015-03-08 11:21:04,418 INFO  [Plumbr thread - 16] eu.plumbr.agent.bWK - We have 8 leak suspects. Totally they consume approx. 40905. This is 0.00390 of threshold value of 10485760. Confidence: 0
2015-03-08 11:22:04,601 INFO  [Plumbr thread - 21] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:22:04,694 INFO  [Plumbr thread - 21] eu.plumbr.agent.bWK - We have 8 leak suspects. Totally they consume approx. 45940. This is 0.00438 of threshold value of 10485760. Confidence: 0
2015-03-08 11:23:43,025 WARN  [netty - 1] eu.plumbr.agent.cDE - Unexpected exception in the selector loop.
java.lang.OutOfMemoryError: Java heap space
2015-03-08 11:23:43,025 INFO  [Plumbr thread - 27] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:23:43,906 INFO  [netty - 1] eu.plumbr.agent.bXS - Scheduling reconnect in 10 s
2015-03-08 11:23:53,909 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXS - Trying to reconnect
2015-03-08 11:44:28,383 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:44:29,885 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:44:29,885 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:44:29,981 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 11:44:30,965 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 11:44:31,011 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 11:44:31,012 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 11:44:31,023 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191DEEkTsAzJOBp6blnzaJgRRgkeYc= started
2015-03-08 11:44:31,023 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 11:44:32,024 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 11:44:32,048 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 43605
2015-03-08 11:44:41,024 INFO  [Plumbr thread - 8] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:45:51,031 INFO  [Plumbr thread - 11] eu.plumbr.agent.bWz - Running heap leak analysis.
